Title,Source,Time,Link,Keywords
Economic and Social Reports Switching stores to cope with high inflation: Food sales at food and beverage stores and ...,Statistique Canada,2023-07-26,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzM2LTI4LTAwMDEvMjAyMzAwNy9hcnRpY2xlLzAwMDA1LWVuZy5odG3SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Ending the pain of high inflation,Bank of Canada,2023-11-22,https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzExL2VuZGluZy10aGUtcGFpbi1vZi1oaWdoLWluZmxhdGlvbi_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Income, meet inflation - Statistics Canada",Statistique Canada,2022-08-18,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LnN0YXRjYW4uZ2MuY2EvbzEvZW4vcGx1cy8xNjE1LWluY29tZS1tZWV0LWluZmxhdGlvbtIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Understanding the reasons for high inflation,Bank of Canada,2023-03-09,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzAzL3VuZGVyc3RhbmRpbmctdGhlLXJlYXNvbnMtZm9yLWhpZ2gtaW5mbGF0aW9uL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Economic and Social Reports Markups and inflation: Evidence from firm-level data,Statistique Canada,2023-06-28,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzM2LTI4LTAwMDEvMjAyMzAwNi9hcnRpY2xlLzAwMDA0LWVuZy5odG3SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
How higher interest rates affect inflation,Bank of Canada,2023-12-21,https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzEyL2hvdy1oaWdoZXItaW50ZXJlc3QtcmF0ZXMtYWZmZWN0LWluZmxhdGlvbi_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate jumps to new 31-year high of 6.7%,CBC News,2022-04-20,https://news.google.com/articles/CBMiO2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tMS42NDI0Mzg40gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjY0MjQzODg?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
How price setting influences inflation,Bank of Canada,2023-10-03,https://news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzEwL2hvdy1wcmljZS1zZXR0aW5nLWluZmx1ZW5jZXMtaW5mbGF0aW9uL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Navigating high inflation,Bank of Canada,2022-06-02,https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIyLzA2L25hdmlnYXRpbmctaGlnaC1pbmZsYXRpb24v0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
The BoC's Shelter Inflation Problem,TD Economics,2024-02-20,https://news.google.com/articles/CBMiOWh0dHBzOi8vZWNvbm9taWNzLnRkLmNvbS9jYS1ib2Mtc2hlbHRlci1pbmZsYXRpb24tcHJvYmxlbdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canadian economic slowdown is not over,RBC Thought Leadership -,2024-03-12,https://news.google.com/articles/CBMiTWh0dHBzOi8vdGhvdWdodGxlYWRlcnNoaXAucmJjLmNvbS90aGUtY2FuYWRpYW4tZWNvbm9taWMtc2xvd2Rvd24taXMtbm90LW92ZXIv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
The Bank of Canada's response to high inflation,Bank of Canada,2023-04-24,https://news.google.com/articles/CBMilgFodHRwczovL3d3dy5iYW5rb2ZjYW5hZGEuY2EvcHVibGljYXRpb25zL2FubnVhbC1yZXBvcnRzLXF1YXJ0ZXJseS1maW5hbmNpYWwtcmVwb3J0cy9hbm51YWwtcmVwb3J0LTIwMjIvdGhlLWJhbmstb2YtY2FuYWRhcy1yZXNwb25zZS10by1oaWdoLWluZmxhdGlvbi_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Responding to the Inflation Reduction Act: Canada's options,Canadian Climate Institute,2022-11-02,https://news.google.com/articles/CBMiTWh0dHBzOi8vY2xpbWF0ZWluc3RpdHV0ZS5jYS9pbmZsYXRpb24tcmVkdWN0aW9uLWFjdC13aGF0LWFyZS1jYW5hZGFzLW9wdGlvbnMv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate falls to 2.8%,CBC News,2023-07-18,https://news.google.com/articles/CBMiRWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tcmF0ZS1qdW5lLTEuNjkwOTYzNdIBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS42OTA5NjM1?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate unchanged in October at 6.9%,CBC News,2022-11-16,https://news.google.com/articles/CBMiO2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tMS42NjUzMTYz0gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjY2NTMxNjM?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Here's what we can learn from Canada's response to inflation in the 1980s and 1990s,The Conversation,2024-02-25,https://news.google.com/articles/CBMidGh0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS9oZXJlcy13aGF0LXdlLWNhbi1sZWFybi1mcm9tLWNhbmFkYXMtcmVzcG9uc2UtdG8taW5mbGF0aW9uLWluLXRoZS0xOTgwcy1hbmQtMTk5MHMtMjI0MjIw0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation rate tumbles to 2.8%, but economists warn inflation fight not over",CP24,2023-07-18,https://news.google.com/articles/CBMilwFodHRwczovL3d3dy5jcDI0LmNvbS9uZXdzL2NhbmFkYS1zLWluZmxhdGlvbi1yYXRlLXR1bWJsZWQtdG8taXRzLWxvd2VzdC1sZXZlbC1pbi1tb3JlLXRoYW4tdHdvLXllYXJzLWxhc3QtbW9udGgtaGVyZS1pcy13aGF0LXlvdS1uZWVkLXRvLWtub3ctMS42NDgzODA50gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate fell to 2.9% in January,CP24,2024-02-20,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmNwMjQuY29tL25ld3MvaW5mbGF0aW9uLWZlbGwtdG8td2l0aGluLXRoZS1iYW5rLW9mLWNhbmFkYS1zLXRhcmdldC1yYW5nZS1sYXN0LW1vbnRoLTEuNjc3NTU5NNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Behind the Numbers: What's Causing Growth in Food Prices,Statistique Canada,2022-11-16,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzYyZjAwMTRtLzYyZjAwMTRtMjAyMjAxNC1lbmcuaHRt0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate now at 30-year high of 5.7%,CBC News,2022-03-16,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tZmVicnVhcnktMS42Mzg2NTM20gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjYzODY1MzY?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Understanding the unusual: How firms set prices during periods of high inflation,Bank of Canada,2023-10-03,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzEwL3VuZGVyc3RhbmRpbmctdGhlLXVudXN1YWwtaG93LWZpcm1zLXNldC1wcmljZXMtZHVyaW5nLXBlcmlvZHMtb2YtaGlnaC1pbmZsYXRpb24v0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate cools to 3.1% but the cost of living keeps going up,CBC News,2023-11-21,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tb2N0b2Jlci0xLjcwMzQ2ODbSASBodHRwczovL3d3dy5jYmMuY2EvYW1wLzEuNzAzNDY4Ng?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation fell sharply last month. Will we see spring rate cuts?,Global News,2024-02-20,https://news.google.com/articles/CBMiQmh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzEwMzA0NzgyL2phbnVhcnktMjAyNC1pbmZsYXRpb24tY2FuYWRhL9IBRmh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzEwMzA0NzgyL2phbnVhcnktMjAyNC1pbmZsYXRpb24tY2FuYWRhL2FtcC8?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Inflation rises again, to new 39-year high of 8.1%",CBC News,2022-07-20,https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tcmF0ZS0xLjY1MjYwNjDSASBodHRwczovL3d3dy5jYmMuY2EvYW1wLzEuNjUyNjA2MA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Understanding Inflation Dynamics: The Role of Government Expenditures,Bank of Canada,2023-06-09,https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzA2L3N0YWZmLXdvcmtpbmctcGFwZXItMjAyMy0zMC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation falls into the Bank of Canada’s target range. Are rate hikes done?,Global News,2023-07-18,https://news.google.com/articles/CBMiPmh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzk4Mzg5OTYvY2FuYWRhLWluZmxhdGlvbi1qdW5lLTIwMjMv0gFCaHR0cHM6Ly9nbG9iYWxuZXdzLmNhL25ld3MvOTgzODk5Ni9jYW5hZGEtaW5mbGF0aW9uLWp1bmUtMjAyMy9hbXAv?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation rate slows to 3.4%, lowest level in almost 2 years",CBC News,2023-06-27,https://news.google.com/articles/CBMiPWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1yYXRlLW1heS0xLjY4ODk3MjXSASBodHRwczovL3d3dy5jYmMuY2EvYW1wLzEuNjg4OTcyNQ?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation in Canada: Latest interest rate decision,CTV News,2024-03-06,https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmN0dm5ld3MuY2EvYnVzaW5lc3MvYmFuay1vZi1jYW5hZGEtaG9sZHMtaW50ZXJlc3QtcmF0ZS1hdC01LXBlci1jZW50LTEuNjc5NjM0MNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Monetary Policy Report – October 2023,Bank of Canada,2023-10-25,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzEwL21wci0yMDIzLTEwLTI1L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada’s inflation rate hit 8.1% in June. Is this the peak?,Global News,2022-07-20,https://news.google.com/articles/CBMiPmh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzkwMDI4MjAvaW5mbGF0aW9uLWNhbmFkYS1qdW5lLTIwMjIv0gFCaHR0cHM6Ly9nbG9iYWxuZXdzLmNhL25ld3MvOTAwMjgyMC9pbmZsYXRpb24tY2FuYWRhLWp1bmUtMjAyMi9hbXAv?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
What population growth means for the economy and inflation,Bank of Canada,2023-12-07,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzEyL3doYXQtcG9wdWxhdGlvbi1ncm93dGgtbWVhbnMtZm9yLXRoZS1lY29ub215LWFuZC1pbmZsYXRpb24v0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Inflation rate unexpectedly increased in April, jumping up to 4.4%",CBC News,2023-05-16,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1hcHJpbC0xLjY4NDQ3MDPSASBodHRwczovL3d3dy5jYmMuY2EvYW1wLzEuNjg0NDcwMw?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation cools to 3.8% in September. What that means for the Bank of Canada,Global News,2023-10-17,https://news.google.com/articles/CBMiRGh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzEwMDI5NjQ4L2NhbmFkYS1pbmZsYXRpb24tc2VwdGVtYmVyLTIwMjMv0gFIaHR0cHM6Ly9nbG9iYWxuZXdzLmNhL25ld3MvMTAwMjk2NDgvY2FuYWRhLWluZmxhdGlvbi1zZXB0ZW1iZXItMjAyMy9hbXAv?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Here's how inflation works and what can be done about rising prices,CBC News,2022-02-24,https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1idXNpbmVzcy1leHBsYWluZXItMS42MzYyMDkz0gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjYzNjIwOTM?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation in Canada soared 40 years ago. Is today's price surge any different? - National | Globalnews.ca,Global News,2022-07-19,https://news.google.com/articles/CBMiQ2h0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzkwMDEwNTYvaW5mbGF0aW9uLWNyaXNpcy1jYW5hZGEtaGlzdG9yeS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Trade Makes Canadian Inflation Go Round,TD Economics,2023-06-28,https://news.google.com/articles/CBMiK2h0dHBzOi8vZWNvbm9taWNzLnRkLmNvbS9jYS10cmFkZS1pbmZsYXRpb27SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
‘Unsettling news’: What inflation’s uptick means for the Bank of Canada,Global News,2024-01-16,https://news.google.com/articles/CBMiPmh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzEwMjI4NzY5L2NhbmFkYS1kZWNlbWJlci1pbmZsYXRpb24v0gFCaHR0cHM6Ly9nbG9iYWxuZXdzLmNhL25ld3MvMTAyMjg3NjkvY2FuYWRhLWRlY2VtYmVyLWluZmxhdGlvbi9hbXAv?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Proof Point: Without investment, Canadian wages could reignite inflation",RBC Thought Leadership -,2023-02-08,https://news.google.com/articles/CBMiaWh0dHBzOi8vdGhvdWdodGxlYWRlcnNoaXAucmJjLmNvbS9wcm9vZi1wb2ludC13aXRob3V0LWludmVzdG1lbnQtY2FuYWRpYW4td2FnZXMtY291bGQtcmVpZ25pdGUtaW5mbGF0aW9uL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Markups and inflation during the COVID-19 pandemic,Bank of Canada,2023-06-19,https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzA2L3N0YWZmLWFuYWx5dGljYWwtbm90ZS0yMDIzLTgv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Monetary Policy Report – January 2024,Bank of Canada,2024-01-24,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDI0LzAxL21wci0yMDI0LTAxLTI0L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation rate slows to 6.3% — but groceries are still going up at nearly twice that pace,CBC News,2023-01-17,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2NhbmFkYS1pbmZsYXRpb24tZGVjZW1iZXItMS42NzE2MzE10gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjY3MTYzMTU?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation unexpectedly rises in April, upping rate-hike pressure",Reuters Canada,2023-05-16,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FtZXJpY2FzL2NhbmFkYXMtYW5udWFsLWluZmxhdGlvbi1yYXRlLXJpc2VzLTQ0LWFwcmlsLTIwMjMtMDUtMTYv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Despite Softening Inflation, Canadians' Affordability Concerns Remain Acute",Ipsos in Canada,2023-07-11,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3Lmlwc29zLmNvbS9lbi1jYS9kZXNwaXRlLXNvZnRlbmluZy1pbmZsYXRpb24tY2FuYWRpYW5zLWFmZm9yZGFiaWxpdHktY29uY2VybnMtcmVtYWluLWFjdXRl0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's annual inflation rate rose 3.4% in December: StatCan,CP24,2024-01-16,https://news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmNwMjQuY29tL25ld3MvYW5udWFsLWluZmxhdGlvbi1yYXRlLWFjY2VsZXJhdGVzLXRvLTMtNC1pbi1kZWMtY29tcGxpY2F0aW5nLXBhdGgtZm9yLWJhbmstb2YtY2FuYWRhLTEuNjcyNzcwNNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate slowed to 2.9% in January,Radio-Canada.ca,2024-02-20,https://news.google.com/articles/CBMiX2h0dHBzOi8vaWNpLnJhZGlvLWNhbmFkYS5jYS9yY2kvZW4vbmV3cy8yMDUwNzAyL2NhbmFkYXMtaW5mbGF0aW9uLXJhdGUtc2xvd2VkLXRvLTItOS1pbi1qYW51YXJ50gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
To curb inflation we must not forget the mistakes of the 1980s and 1990s: Senator Bellemare,Senate of Canada,2022-08-12,https://news.google.com/articles/CBMihQFodHRwczovL3NlbmNhbmFkYS5jYS9lbi9zZW5jYXBsdXMvb3Bpbmlvbi90by1jdXJiLWluZmxhdGlvbi13ZS1tdXN0LW5vdC1mb3JnZXQtdGhlLW1pc3Rha2VzLW9mLXRoZS0xOTgwcy1hbmQtMTk5MHMtc2VuYXRvci1iZWxsZW1hcmUv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation rate cools to 7%, but food prices are still climbing",CBC News,2022-09-21,https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1jYW5hZGEtYXVndXN0LTEuNjU4ODQ4NtIBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS42NTg4NDg2?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Inflation just took a ‘significant step away’ from the Bank of Canada’s 2% goal,Global News,2023-09-19,https://news.google.com/articles/CBMiQGh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzk5NzA1MzkvY2FuYWRhLWluZmxhdGlvbi1hdWd1c3QtMjAyMy_SAURodHRwczovL2dsb2JhbG5ld3MuY2EvbmV3cy85OTcwNTM5L2NhbmFkYS1pbmZsYXRpb24tYXVndXN0LTIwMjMvYW1wLw?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
An economist explains: What is inflation?,CPA Canada,2022-05-11,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmNwYWNhbmFkYS5jYS9uZXdzL2NhbmFkYS8yMDIyLTA1LTExLWV4cGxhaW5pbmctaW5mbGF0aW9u0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canadian 'Supercore' Inflation - Canada,TD Economics,2023-03-23,https://news.google.com/articles/CBMiL2h0dHBzOi8vZWNvbm9taWNzLnRkLmNvbS9jYS1zdXBlcmNvcmUtaW5mbGF0aW9u0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation rate slows to 4.3% in March, slowest pace since 2021",Reuters Canada,2023-04-18,https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FtZXJpY2FzL2NhbmFkYS1hbm51YWwtaW5mbGF0aW9uLXJhdGUtc2xvd3MtNDMtbWFyY2gtbWF0Y2hpbmctZm9yZWNhc3QtMjAyMy0wNC0xOC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's December inflation dashes hopes of early rate cut,Reuters,2024-01-16,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvY2FuYWRhcy1pbmZsYXRpb24tcmlzZXMtMzQtZGVjLW1lZXRpbmctZXhwZWN0YXRpb25zLTIwMjQtMDEtMTYv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
